"timestamp","ghi","ghi90","ghi10","ebh","dni","dni10","dni90","dhi","air_temp","zenith","azimuth","cloud_opacity"
"2021-11-16 14:00:00","84","129","59","5","18","5","93","79","6","76","137","52"
"2021-11-16 14:30:00","75","86","68","7","37","26","78","68","6","80","131","36"
"2021-11-16 15:00:00","46","56","27","4","29","8","68","41","5","84","125","26"
"2021-11-16 15:30:00","10","10","10","1","2","2","2","9","4","88","119","52"
"2021-11-16 16:00:00","1","1","1","0","0","0","0","1","3","93","114","51"
"2021-11-16 16:30:00","0","0","0","0","0","0","0","0","3","98","109","59"
"2021-11-16 17:00:00","0","0","0","0","0","0","0","0","3","103","103","52"
"2021-11-16 17:30:00","0","0","0","0","0","0","0","0","3","108","98","42"
"2021-11-16 18:00:00","0","0","0","0","0","0","0","0","3","113","93","50"
"2021-11-16 18:30:00","0","0","0","0","0","0","0","0","3","118","88","49"
"2021-11-16 19:00:00","0","0","0","0","0","0","0","0","2","123","82","52"
"2021-11-16 19:30:00","0","0","0","0","0","0","0","0","2","128","76","50"
"2021-11-16 20:00:00","0","0","0","0","0","0","0","0","2","133","69","51"
"2021-11-16 20:30:00","0","0","0","0","0","0","0","0","2","138","61","32"
"2021-11-16 21:00:00","0","0","0","0","0","0","0","0","2","142","52","33"
"2021-11-16 21:30:00","0","0","0","0","0","0","0","0","2","146","42","51"
"2021-11-16 22:00:00","0","0","0","0","0","0","0","0","3","149","30","42"
"2021-11-16 22:30:00","0","0","0","0","0","0","0","0","3","151","16","71"
"2021-11-16 23:00:00","0","0","0","0","0","0","0","0","3","152","2","58"
"2021-11-16 23:30:00","0","0","0","0","0","0","0","0","1","152","-13","60"
"2021-11-17 00:00:00","0","0","0","0","0","0","0","0","1","150","-28","51"
"2021-11-17 00:30:00","0","0","0","0","0","0","0","0","1","147","-40","48"
"2021-11-17 01:00:00","0","0","0","0","0","0","0","0","1","143","-51","46"
"2021-11-17 01:30:00","0","0","0","0","0","0","0","0","1","139","-60","16"
"2021-11-17 02:00:00","0","0","0","0","0","0","0","0","1","134","-68","19"
"2021-11-17 02:30:00","0","0","0","0","0","0","0","0","1","129","-74","10"
"2021-11-17 03:00:00","0","0","0","0","0","0","0","0","1","124","-81","20"
"2021-11-17 03:30:00","0","0","0","0","0","0","0","0","1","119","-87","48"
"2021-11-17 04:00:00","0","0","0","0","0","0","0","0","1","114","-92","25"
"2021-11-17 04:30:00","0","0","0","0","0","0","0","0","1","109","-97","48"
"2021-11-17 05:00:00","0","0","0","0","0","0","0","0","1","104","-102","10"
"2021-11-17 05:30:00","0","0","0","0","0","0","0","0","1","99","-108","41"
"2021-11-17 06:00:00","0","0","0","0","0","0","0","0","0","94","-113","47"
"2021-11-17 06:30:00","4","5","2","1","6","2","8","2","1","89","-118","6"
"2021-11-17 07:00:00","40","42","12","12","68","2","83","28","1","85","-124","3"
"2021-11-17 07:30:00","77","90","58","16","91","47","197","60","2","81","-130","21"
