"timestamp","ENERGIE_EINSPEISUNG","LEISTUNG_EINSPEISUNG"
"2021-03-23 12:45:00","202.286","6.730"
"2021-03-23 13:00:00","203.830","6.176"
"2021-03-23 13:15:00","205.275","5.779"
"2021-03-23 13:30:00","206.795","6.081"
"2021-03-23 13:45:00","208.250","5.819"
"2021-03-23 14:00:00","209.655","5.620"
"2021-03-23 14:15:00","211.047","5.567"
"2021-03-23 14:30:00","212.375","5.312"
"2021-03-23 14:45:00","213.600","4.901"
"2021-03-23 15:00:00","214.669","4.276"
"2021-03-23 15:15:00","215.581","3.646"
"2021-03-23 15:45:00","216.945","2.520"
"2021-03-23 16:00:00","217.468","2.092"
"2021-03-23 16:15:00","217.974","2.027"
"2021-03-23 16:30:00","218.416","1.767"
"2021-03-23 16:45:00","218.736","1.281"
"2021-03-23 17:00:00","218.961","0.897"
"2021-03-23 17:15:00","219.116","0.623"
"2021-03-23 17:30:00","219.212","0.382"
"2021-03-23 17:45:00","219.267","0.222"
"2021-03-23 18:00:00","219.303","0.144"
"2021-03-23 18:15:00","219.315","0.048"
"2021-03-23 18:30:00","219.317","0.008"
"2021-03-23 18:45:00","219.317","0.000"
"2021-03-23 19:00:00","219.317","0.000"
"2021-03-23 19:15:00","219.317","0.000"
"2021-03-23 19:30:00","219.317","0.000"
"2021-03-23 19:45:00","219.317","0.000"
"2021-03-23 20:00:00","219.317","0.000"
"2021-03-23 20:15:00","219.317","0.000"
"2021-03-23 20:30:00","219.317","0.000"
"2021-03-23 20:45:00","219.317","0.000"
"2021-03-23 21:00:00","219.317","0.000"
"2021-03-23 21:15:00","219.317","0.000"
"2021-03-23 21:30:00","219.317","0.000"
"2021-03-23 21:45:00","219.317","0.000"
"2021-03-23 22:00:00","219.317","0.000"
"2021-03-23 22:15:00","219.317","0.000"
"2021-03-23 22:30:00","219.317","0.000"
"2021-03-23 22:45:00","219.317","0.000"
"2021-03-23 23:00:00","219.317","0.000"
"2021-03-23 23:15:00","219.317","0.000"
"2021-03-23 23:30:00","219.317","0.000"
"2021-03-23 23:45:00","219.317","0.000"
"2021-03-24 00:00:00","219.317","0.000"
"2021-03-24 00:15:00","219.317","0.000"
"2021-03-24 00:30:00","219.317","0.000"
"2021-03-24 00:45:00","219.317","0.000"
"2021-03-24 01:00:00","219.317","0.000"
"2021-03-24 01:15:00","219.317","0.000"
"2021-03-24 01:30:00","219.317","0.000"
"2021-03-24 01:45:00","219.317","0.000"
"2021-03-24 02:00:00","219.317","0.000"
"2021-03-24 02:15:00","219.317","0.000"
"2021-03-24 02:30:00","219.317","0.000"
